Weight,Age,Arm,Thigh,Seated,Leg,HtShoes,Ht
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.05,0.13,0.13,0.13,0.13,0.13,0.13
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.02,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.03,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.07,0.13,0.13,0.13,0.13,0.13,0.13
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0.04,0.06,0.13,0.13,0.13,0.13,0.13,0.13
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
0,0.04,0.14,0.14,0.14,0.14,0.14,0.14
